Restaurant,Address,Distance from 94th & Caribbean,FILTER: Distance Category,Website URL,General type of food,Level,FILTER: Type of Food,FILTER: Level,Been Before?,Reservations?,View,Hours,Notes,Menu link or file,Source URL
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
,,,,,,,,,FALSE,,,,,,
